valence,media_slant,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,page_submit_duration,partisanship,gender,age,education,income,gen_knowledge,immig_knowledge,attitude_immig,involvement,media_trust,agree_diff,belief_diff,bias,hmp_score
Biden,FOX,2,1,2,1,1,1,61.096,Republican,2,4,6,6,5,3,3,1.5,1,-1,-1,0,0.5
Biden,Reuter,4,3,5,2,2,2,61.464,Democrat,2,4,5,3,5,2,3,3.5,1.6,-2,-3,0,0.5
Biden,FOX,4,2,5,2,5,5,72.987,Independent,1,5,5,11,5,2,4,1.5,5,1,0,0.5,NA
Ducey,FOX,1,1,1,1,1,1,62.239,Independent,3,4,6,1,4,4,3,5,1.4,0,0,0,NA
Ducey,FOX,7,1,7,1,7,7,99.007,Republican,2,7,5,2,5,4,3,5,1.2,0,0,-0.5,1
Biden,MSNBC,5,2,6,2,3,3,67,Democrat,1,3,5,9,5,2,1.5,1.5,5.4,-2,-3,0.2,0.7
Ducey,MSNBC,7,1,7,1,7,7,99.292,Independent,2,5,5,5,5,2,3,5,1,0,0,-0.5,NA
Biden,Reuter,2,1,2,1,2,2,71.258,Independent,1,4,6,11,5,2,4,5,1,0,0,-0.2,NA
Ducey,FOX,2,2,3,2,1,1,61.17,Democrat,2,5,2,4,5,4,3,4,3.8,-1,-2,0,0.5
Ducey,Reuter,5,3,5,2,5,6,106.545,Democrat,1,3,5,11,5,2,2.5,2.5,5,0,1,0.15,0.65
Biden,Reuter,1,1,1,1,1,1,65.141,Republican,1,7,6,7,5,3,4.5,4,1,0,0,0,0.5
Biden,Reuter,4,4,6,2,3,3,76.5,Independent,2,4,3,11,4,3,4,3,3.4,-1,-3,0,NA
Ducey,Reuter,2,1,2,2,1,1,74.006,Independent,2,3,5,2,5,2,3,4.5,3,-1,-1,0,NA
Biden,MSNBC,4,3,4,3,4,4,64.9,Democrat,2,3,3,4,5,4,1,4,2,0,0,0.1,0.6
Ducey,Reuter,7,2,6,1,5,6,85.553,Republican,2,7,5,5,5,3,3.5,4,3,-2,0,-0.3,0.8
Biden,MSNBC,4,3,5,2,4,4,65.612,Democrat,2,3,5,5,3,3,2.5,2.5,4.6,0,-1,0.1,0.6
Ducey,Reuter,4,3,5,2,2,2,81.147,Democrat,2,3,5,6,2,4,3,4,4.4,-2,-3,0.4,0.9
Ducey,Reuter,3,3,5,2,2,3,81.011,Democrat,2,3,4,6,5,4,3.5,2,4.6,-1,-2,0.2,0.7
Ducey,MSNBC,4,4,4,4,1,1,76.778,Independent,1,3,5,11,4,4,3,1,2.2,-3,-3,0.1,NA
Biden,Reuter,6,2,5,2,5,3,143.643,Democrat,1,3,4,8,3,1,3.5,3,4.2,-1,-2,0.1,0.6
Biden,Reuter,6,1,5,2,2,2,69.295,Democrat,2,3,5,5,4,0,4,2,5.2,-4,-3,0,0.5
Biden,MSNBC,3,2,2,2,1,1,65.491,Republican,2,3,4,8,4,3,3,3,2.4,-2,-1,0.3,0.19999999999999996
Biden,FOX,2,1,3,1,6,3,418.365,Democrat,2,6,4,9,5,2,3.5,4,5.6,4,0,0.3,0.8
Ducey,Reuter,5,3,3,3,6,5,61.414,Democrat,1,3,3,6,5,1,3,1.5,4.6,1,2,-0.25,0.25
Ducey,Reuter,2,2,5,2,2,1,66.191,Independent,1,5,5,6,5,0,4,1,3.8,0,-4,0.1,NA
Ducey,MSNBC,2,3,3,2,1,1,83.357,Democrat,2,3,4,5,4,1,3,2.5,3,-1,-2,0,0.5
Biden,MSNBC,6,2,6,2,3,3,62.082,Democrat,2,5,2,2,5,2,3,2,5.8,-3,-3,-0.15,0.35
Ducey,FOX,4,4,4,4,1,1,98.91,Independent,1,3,5,8,3,2,3,4,1,-3,-3,0,NA
Biden,MSNBC,2,2,3,2,2,2,61.057,Independent,1,5,3,9,4,2,3,3,1.4,0,-1,-0.4,NA
Ducey,FOX,1,2,1,2,1,2,123.591,Democrat,1,3,5,8,5,4,1,4.5,5,0,1,0,0.5
Biden,FOX,5,4,5,3,4,3,81.571,Democrat,1,3,6,7,5,4,1,2.5,3.8,-1,-2,0.25,0.75
Ducey,FOX,6,2,6,2,2,1,69.432,Democrat,2,7,2,4,5,3,2.5,4,3.8,-4,-5,0,0.5
Biden,Reuter,5,2,6,2,5,5,81.01,Democrat,1,3,3,8,5,2,4,2,3.6,0,-1,0,0.5
Biden,FOX,6,2,6,2,6,5,75.48,Democrat,1,3,5,3,2,3,2,3.5,5.2,0,-1,0.25,0.75
Ducey,MSNBC,3,2,3,1,2,2,82.62,Democrat,2,4,3,5,5,4,2,2.5,4.8,-1,-1,-0.05,0.45
Ducey,MSNBC,4,3,5,2,6,5,69.786,Republican,1,3,5,5,3,2,2,3.5,6.4,2,0,0.3,0.19999999999999996
Biden,Reuter,4,2,2,1,1,1,77.457,Republican,2,7,3,3,5,4,3,5,1,-3,-1,0,0.5
Ducey,Reuter,2,2,3,2,2,3,72.748,Republican,2,4,5,5,5,3,3,2,3.8,0,0,-0.05,0.55
Ducey,MSNBC,2,2,3,3,1,2,73.818,Democrat,1,3,5,10,5,5,3,2,4.8,-1,-1,0,0.5
Biden,FOX,6,2,6,2,2,2,220.159,Democrat,1,5,4,12,4,4,2,5,5.2,-4,-4,0,0.5
Ducey,FOX,2,2,2,2,2,1,69.968,Democrat,2,6,4,2,5,2,3,4,1,0,-1,0.25,0.75
Ducey,Reuter,2,2,2,2,1,1,63.662,Democrat,1,3,2,11,5,3,3,4.5,2.2,-1,-1,0,0.5
Ducey,FOX,4,3,7,3,3,2,69.835,Democrat,1,3,5,1,2,1,3,2,6,-1,-5,0,0.5
Biden,Reuter,4,4,5,3,3,2,81.713,Democrat,1,3,3,5,2,3,3.5,1.5,3.8,-1,-3,0.05,0.55
Biden,Reuter,4,2,3,2,2,2,63.158,Republican,1,3,3,4,4,2,3,3,4.4,-2,-1,0,0.5
Biden,MSNBC,6,2,6,2,4,3,85.391,Democrat,1,4,5,7,5,3,3,3,5,-2,-3,0,0.5
Biden,MSNBC,5,3,5,2,3,3,88.179,Republican,2,5,5,11,5,1,2.5,2,4,-2,-2,0,0.5
Biden,FOX,7,1,6,2,5,5,62.098,Democrat,1,3,3,6,5,3,3,1.5,4.4,-2,-1,0.1,0.6
Ducey,FOX,3,2,3,2,2,2,241.522,Republican,1,3,5,6,5,3,3.5,5,3.4,-1,-1,0.35,0.15000000000000002
Ducey,MSNBC,1,1,1,1,1,1,68.117,Democrat,1,3,6,12,5,4,5,4.5,2.2,0,0,-0.15,0.35
Biden,FOX,2,1,1,1,2,2,62.578,Independent,1,5,5,3,5,3,3,3,2,0,1,0.2,NA
Biden,MSNBC,4,3,4,4,2,3,65.896,Independent,2,5,5,2,5,4,3,1.5,4.6,-2,-1,0,NA
Ducey,Reuter,6,2,5,2,5,5,76.476,Independent,1,5,3,1,5,2,3,4,2,-1,0,-0.5,NA
Biden,FOX,6,3,6,2,3,5,70.374,Republican,1,3,5,6,4,3,2.5,1.5,6,-3,-1,0,0.5
Ducey,FOX,1,2,2,2,1,1,96.455,Democrat,1,3,3,1,5,2,2.5,1,5,0,-1,0,0.5
Biden,Reuter,6,1,6,1,6,5,97.196,Democrat,1,6,5,11,5,4,3,3,5.2,0,-1,0,0.5
Ducey,MSNBC,7,1,7,1,7,7,71.849,Republican,1,3,3,5,5,3,3,3,1,0,0,-0.5,1
Ducey,FOX,3,4,4,4,7,7,74.398,Independent,2,3,5,10,2,3,2,1,2.4,4,3,0.3,NA
Biden,FOX,1,1,2,1,2,2,75.91,Republican,1,5,4,5,5,3,3.5,4,1.2,1,0,0.1,0.4
Biden,FOX,4,4,4,4,4,4,62.075,Independent,1,4,5,3,5,1,4,1,1.6,0,0,0.5,NA
Biden,MSNBC,7,2,5,2,1,1,65.619,Democrat,1,3,4,3,3,2,4.5,3,1.8,-6,-4,0,0.5
Ducey,MSNBC,3,3,3,3,2,1,74.818,Independent,1,3,5,3,5,0,3,2,1,-1,-2,-0.2,NA
Biden,FOX,5,2,5,2,3,3,61.203,Democrat,2,3,4,3,5,2,1,3,4.2,-2,-2,0.25,0.75
