duration_in_seconds,media_slant,nfc,agree_t1,agree_certainty_t1,belief_t1,belief_certainty_t1,agree_t2,belief_t2,bias_1,bias_2,confident,encouraged,angry,annoyed,page_submit_duration,partisanship,ideology,nfc_code,gender,age,education,income,involvement,gen_knowledge,media_trust,agree_diff,belief_diff,bias,hmp_score,certainty_agree,certainty_belief,nfc_code_correct
309,Reuter,Low,7,1,6,1,6,6,6,6,7,7,1,1,54.637,Democrat,6,2,1,4,2,3,2.5,5,2.2,-1,0,0,0.5,1,1,1
277,FOX,Low,6,2,6,2,5,5,9,10,3,6,4,5,52.802,Democrat,2,2,1,3,5,7,3,3,5,-1,-1,0.35,0.85,1,1,1
339,MSNBC,High,6,2,6,1,6,6,8,8,4,3,2,3,62.735,Democrat,7,2,1,6,5,11,3.5,5,5.4,0,0,0.2,0.7,1,1,1
241,Reuter,Low,6,2,6,2,3,3,6,6,6,4,1,1,51.786,Democrat,5,2,1,4,6,6,3,5,2.8,-3,-3,0,0.5,1,1,1
249,FOX,High,5,2,6,2,5,4,7,9,1,1,4,4,51.285,Democrat,6,2,2,4,6,2,3,5,5.2,0,-2,0.2,0.7,1,1,1
503,Reuter,High,5,2,6,2,4,4,6,6,7,7,5,5,120.661,Democrat,6,2,2,3,5,5,3,4,2.2,-1,-2,0,0.5,1,1,1
431,FOX,Low,7,1,6,1,7,7,3,3,4,4,4,4,51.214,Republican,3,2,2,5,4,7,4,4,2,0,1,-0.3,0.8,1,1,1
519,MSNBC,Low,5,2,5,3,2,2,6,6,6,6,2,3,123.151,Democrat,5,2,2,5,5,6,2.5,4,4,-3,-3,0,0.5,1,0,1
378,MSNBC,High,7,1,5,2,3,4,3,3,2,2,4,4,51.179,Republican,1,2,2,6,2,6,5,4,1,-4,-1,-0.3,0.8,1,1,1
445,FOX,High,7,1,7,1,6,6,4,2,2,1,4,5,52.6,Republican,2,2,2,6,3,5,5,5,1.2,-1,-1,-0.3,0.8,1,1,1
579,FOX,Low,6,1,7,1,5,5,11,11,2,2,5,5,55.338,Democrat,6,2,2,3,2,4,3.5,4,6.2,-1,-2,0.5,1,1,1,1
