id,no,gubun,group,ideology,party,chosun,hani,news_quality,agree_t1,agree_t2,bias,age,education,gender,valence,media_slant,ideology_discrete,economic_policy,involvement,media_trust,agree_diff,hmp_score
1,1,1,1,5,Independent,6,2,4,5,5,0,4,4,Male,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,1.5,2.625,0,0.5
2,2,1,1,3,Minju Party,6,3,4,2,3,0.3,5,4,Female,Conservative-consistent,Conservative Media,Liberal,5,6,2.375,1,0.8
3,4,1,1,4,Independent,7,1,1,1,1,0.5,1,4,Male,Conservative-consistent,Conservative Media,Moderate,2,5.5,1.125,0,
4,5,1,1,7,Hankuk Party,4,4,5,7,7,0.2,4,4,Female,Conservative-consistent,Conservative Media,Conservative,1,4,1.75,0,0.3
5,6,1,1,1,Minju Party,7,7,1,1,1,0.5,2,5,Male,Conservative-consistent,Conservative Media,Liberal,6,5.5,1.5,0,1
6,8,1,1,4,Independent,4,4,4,4,4,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,1,4,1,0,
7,9,1,1,2,Independent,7,3,4,2,1,0,4,4,Male,Conservative-consistent,Conservative Media,Liberal,1.33333333333333,5,2.25,-1,0.5
8,10,1,1,5,Hankuk Party,5,2,5,5,3,0.1,2,4,Male,Conservative-consistent,Conservative Media,Conservative,1,3,4.625,-2,0.4
9,11,1,1,2,Minju Party,1,3,4,2,3,-0.1,5,4,Male,Conservative-consistent,Conservative Media,Liberal,4,4.5,1,1,0.4
10,13,1,1,6,Independent,5,1,2,7,7,-0.3,5,4,Male,Conservative-consistent,Conservative Media,Conservative,1,1,1.625,0,0.8
11,15,1,1,4,Independent,5,1,5,7,5,0.1,4,4,Male,Conservative-consistent,Conservative Media,Moderate,1,7,2.75,-2,
12,17,1,1,4,Minju Party,4,4,1,2,1,0.5,3,4,Male,Conservative-consistent,Conservative Media,Moderate,5,6,1,-1,
13,19,1,1,4,Independent,4,3,2,2,2,0.2,3,4,Male,Conservative-consistent,Conservative Media,Moderate,4,5,1.875,0,
14,20,1,1,4,Minju Party,6,3,4,3,3,0,5,4,Male,Conservative-consistent,Conservative Media,Moderate,3.33333333333333,5,3,0,
15,21,1,1,7,Hankuk Party,6,1,5,7,6,0,2,4,Female,Conservative-consistent,Conservative Media,Conservative,1,7,1,-1,0.5
16,22,1,1,3,Minju Party,7,3,1,1,1,0.5,5,4,Male,Conservative-consistent,Conservative Media,Liberal,6,6,1.25,0,1
17,23,1,1,5,Independent,4,4,4,4,3,0.1,5,4,Female,Conservative-consistent,Conservative Media,Conservative,2.66666666666667,5,3.5,-1,0.4
18,24,1,1,4,Independent,4,4,4,5,5,0.1,2,4,Male,Conservative-consistent,Conservative Media,Moderate,3,4,2.75,0,
19,25,1,1,4,Minju Party,4,4,3,3,3,0,2,4,Female,Conservative-consistent,Conservative Media,Moderate,4.33333333333333,4.5,3,0,
20,26,1,1,4,Independent,7,3,2,2,1,0.5,3,5,Male,Conservative-consistent,Conservative Media,Moderate,4,4.5,2,-1,
21,28,1,1,5,Independent,5,4,5,6,3,0.1,4,4,Male,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,6.5,3.5,-3,0.4
22,29,1,1,3,Independent,4,4,4,6,5,0.3,4,3,Female,Conservative-consistent,Conservative Media,Liberal,3.66666666666667,5.5,4.625,-1,0.8
23,30,1,1,4,Independent,3,5,4,4,3,0,5,4,Female,Conservative-consistent,Conservative Media,Moderate,3.66666666666667,4.5,2.375,-1,
24,31,1,1,5,Independent,5,1,4,6,4,-0.1,5,3,Male,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,2.5,3.125,-2,0.6
25,32,1,1,5,Minju Party,4,5,4,4,4,0,5,3,Female,Conservative-consistent,Conservative Media,Conservative,4.33333333333333,5,4.625,0,0.5
26,33,1,1,5,Independent,5,3,6,6,5,0,1,3,Female,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,6,1.25,-1,0.5
27,34,1,1,4,Independent,5,2,4,4,4,0,5,4,Female,Conservative-consistent,Conservative Media,Moderate,1.66666666666667,5,4.125,0,
28,35,1,1,5,Minju Party,7,3,5,5,3,-0.3,2,4,Male,Conservative-consistent,Conservative Media,Conservative,3.66666666666667,5.5,2.25,-2,0.8
29,36,1,1,4,Minju Party,4,4,3,1,2,-0.1,3,4,Male,Conservative-consistent,Conservative Media,Moderate,5,5,4,1,
30,37,1,1,3,Minju Party,7,2,6,2,2,0,4,5,Male,Conservative-consistent,Conservative Media,Liberal,3.33333333333333,5,3.25,0,0.5
31,38,1,1,4,Independent,4,4,4,5,5,-0.1,1,4,Female,Conservative-consistent,Conservative Media,Moderate,3.33333333333333,3.5,3.875,0,
32,39,1,1,4,Minju Party,4,3,1,1,1,0,3,4,Male,Conservative-consistent,Conservative Media,Moderate,4,4,3.375,0,
33,40,1,1,7,Hankuk Party,7,1,7,7,7,0.5,4,3,Male,Conservative-consistent,Conservative Media,Conservative,2,4.5,6.5,0,0
34,41,1,1,4,Independent,5,3,4,5,4,0,3,4,Male,Conservative-consistent,Conservative Media,Moderate,3,4.5,2.375,-1,
35,42,1,1,4,Independent,4,4,4,4,4,0,5,3,Female,Conservative-consistent,Conservative Media,Moderate,3,5.5,3.5,0,
36,43,1,1,4,Independent,5,1,4,5,5,0,5,4,Male,Conservative-consistent,Conservative Media,Moderate,1.33333333333333,7,2,0,
37,44,1,1,4,Independent,7,4,4,2,1,-0.1,2,4,Female,Conservative-consistent,Conservative Media,Moderate,4.33333333333333,4,3.25,-1,
38,45,1,1,4,Minju Party,7,1,1,6,3,0.5,5,3,Female,Conservative-consistent,Conservative Media,Moderate,2.66666666666667,5,1.875,-3,
39,46,1,1,3,Independent,5,4,4,4,4,0.1,3,4,Female,Conservative-consistent,Conservative Media,Liberal,3.33333333333333,5,3.125,0,0.6
40,47,1,1,4,Independent,5,4,4,6,4,0,4,4,Male,Conservative-consistent,Conservative Media,Moderate,1.66666666666667,1.5,2.5,-2,
41,49,1,1,3,Independent,5,4,4,3,3,-0.1,4,4,Male,Conservative-consistent,Conservative Media,Liberal,3.66666666666667,5,2.875,0,0.4
42,50,1,1,5,Independent,3,4,4,4,3,-0.1,4,4,Female,Conservative-consistent,Conservative Media,Conservative,3.33333333333333,5.5,3.125,-1,0.6
43,51,1,1,4,Hankuk Party,2,2,4,6,5,0,5,3,Male,Conservative-consistent,Conservative Media,Moderate,1.33333333333333,6.5,1.875,-1,
44,52,1,1,4,Independent,2,3,4,4,4,-0.1,2,4,Male,Conservative-consistent,Conservative Media,Moderate,2.33333333333333,6,3,0,
45,53,1,1,4,Independent,5,3,6,5,4,0,5,4,Female,Conservative-consistent,Conservative Media,Moderate,3.33333333333333,4.5,2.875,-1,
46,54,1,1,3,Minju Party,6,2,5,3,2,-0.2,4,4,Male,Conservative-consistent,Conservative Media,Liberal,5,4.5,4,-1,0.3
47,55,1,1,4,Independent,3,4,4,6,6,-0.1,2,4,Male,Conservative-consistent,Conservative Media,Moderate,1,6,4.5,0,
48,56,1,1,4,Independent,5,3,5,3,2,0.1,4,5,Male,Conservative-consistent,Conservative Media,Moderate,3,5.5,2.875,-1,
49,57,1,1,4,Independent,6,4,4,3,3,0.2,4,4,Male,Conservative-consistent,Conservative Media,Moderate,3.66666666666667,6,2,0,
50,58,1,1,5,Independent,7,4,2,2,2,0.1,4,4,Male,Conservative-consistent,Conservative Media,Conservative,4.66666666666667,5,2,0,0.4
51,59,1,1,4,Independent,6,2,3,5,5,0.5,1,4,Female,Conservative-consistent,Conservative Media,Moderate,2,5,1.375,0,
52,61,1,1,5,Independent,4,1,5,6,5,0,4,3,Female,Conservative-consistent,Conservative Media,Conservative,1.33333333333333,5,2.125,-1,0.5
53,62,1,1,3,Independent,7,2,5,1,1,0.2,5,4,Female,Conservative-consistent,Conservative Media,Liberal,3.66666666666667,7,2.25,0,0.7
54,65,1,1,3,Minju Party,7,7,4,1,1,0,1,4,Female,Conservative-consistent,Conservative Media,Liberal,5.33333333333333,4.5,1,0,0.5
55,68,1,1,3,Minju Party,6,2,5,5,4,0,4,4,Female,Conservative-consistent,Conservative Media,Liberal,3.33333333333333,6,1.75,-1,0.5
56,71,1,1,4,Minju Party,7,4,2,1,1,0,2,4,Male,Conservative-consistent,Conservative Media,Moderate,3.33333333333333,6,1.5,0,
57,76,1,1,4,Minju Party,7,4,2,2,1,0.5,5,4,Male,Conservative-consistent,Conservative Media,Moderate,5,5.5,1.375,-1,
58,82,1,1,4,Minju Party,5,3,4,3,3,-0.2,2,3,Female,Conservative-consistent,Conservative Media,Moderate,2.33333333333333,2.5,3.125,0,
59,86,1,1,6,Hankuk Party,5,1,5,7,7,0.2,2,3,Male,Conservative-consistent,Conservative Media,Conservative,1,1,1,0,0.3
60,91,1,1,5,Hankuk Party,4,3,4,7,7,0,3,4,Male,Conservative-consistent,Conservative Media,Conservative,1,4,5.25,0,0.5
61,92,1,1,6,Hankuk Party,5,1,6,7,7,0,3,5,Male,Conservative-consistent,Conservative Media,Conservative,1,6,2.25,0,0.5
62,95,1,1,3,Minju Party,5,5,3,3,3,-0.1,3,4,Male,Conservative-consistent,Conservative Media,Liberal,3,3,4.5,0,0.4
63,96,1,1,4,Minju Party,3,4,4,4,4,0,2,4,Male,Conservative-consistent,Conservative Media,Moderate,4.33333333333333,3.5,3.625,0,
64,102,1,1,4,Minju Party,7,7,1,1,1,0.5,2,5,Male,Conservative-consistent,Conservative Media,Moderate,4,4.5,1.125,0,
65,103,1,1,4,Hankuk Party,5,2,4,7,5,0.3,5,4,Female,Conservative-consistent,Conservative Media,Moderate,1.33333333333333,4,3.5,-2,
66,106,1,1,6,Minju Party,1,1,2,1,3,0.2,4,3,Female,Conservative-consistent,Conservative Media,Conservative,6.33333333333333,7,6.125,2,0.3
67,109,1,1,7,Minju Party,6,7,7,7,7,0.5,2,4,Male,Conservative-consistent,Conservative Media,Conservative,2.33333333333333,3,4.25,0,0
68,115,1,1,3,Minju Party,7,1,3,1,1,0.4,3,5,Male,Conservative-consistent,Conservative Media,Liberal,4.33333333333333,4,2.5,0,0.9
69,116,1,1,3,Minju Party,7,3,5,1,1,-0.2,1,4,Female,Conservative-consistent,Conservative Media,Liberal,6.66666666666667,7,1,0,0.3
70,123,1,1,2,Minju Party,7,2,3,1,3,0.1,4,4,Female,Conservative-consistent,Conservative Media,Liberal,5.33333333333333,6.5,3.875,2,0.6
71,130,1,1,2,Minju Party,7,7,3,1,2,0.3,2,4,Female,Conservative-consistent,Conservative Media,Liberal,4.66666666666667,6,1.5,1,0.8
72,132,1,1,4,Minju Party,6,6,6,3,2,-0.2,3,4,Female,Conservative-consistent,Conservative Media,Moderate,4,6,2.125,-1,
73,136,1,1,2,Minju Party,7,4,1,1,3,0.5,3,3,Female,Conservative-consistent,Conservative Media,Liberal,4.66666666666667,4.5,1,2,1
74,141,1,1,7,Hankuk Party,5,1,6,7,6,0.3,5,4,Female,Conservative-consistent,Conservative Media,Conservative,2,4,1.75,-1,0.2
75,144,1,1,3,Minju Party,7,2,1,1,1,0.5,4,4,Female,Conservative-consistent,Conservative Media,Liberal,5.66666666666667,6,1.75,0,1
76,149,1,1,5,Minju Party,6,3,5,2,1,-0.1,3,4,Female,Conservative-consistent,Conservative Media,Conservative,4,5,2,-1,0.6
77,152,1,1,3,Minju Party,5,3,4,5,5,0,3,4,Female,Conservative-consistent,Conservative Media,Liberal,2,5.5,1,0,0.5
78,168,1,1,2,Hankuk Party,4,4,5,4,3,0,2,4,Female,Conservative-consistent,Conservative Media,Liberal,2,5.5,4.875,-1,0.5
