StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,Q1.2_1,Q1.2_2,Q1.2_3,Q2.2,Q2.3,Q2.4,Q3.2,Q3.3,Q4.2,Q4.3,Q4.4,ATTENTION_1,Q4.5,Q4.6,Q5.2,Q5.3,Q5.4,Q5.5,Q5.6,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q8.2,Q8.3,Q8.4,Q8.5,Q7.1,Q9.1,Q9.2,Q10.2_First Click,Q10.2_Last Click,Q10.2_Page Submit,Q10.2_Click Count,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8_First Click,Q10.8_Last Click,Q10.8_Page Submit,Q10.8_Click Count,Q10.11,Q10.12,Q10.13,Q10.14,Q11.2_First Click,Q11.2_Last Click,Q11.2_Page Submit,Q11.2_Click Count,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8_First Click,Q11.8_Last Click,Q11.8_Page Submit,Q11.8_Click Count,Q11.11,Q11.12,Q11.13,Q11.14,Q12.2_First Click,Q12.2_Last Click,Q12.2_Page Submit,Q12.2_Click Count,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8_First Click,Q12.8_Last Click,Q12.8_Page Submit,Q12.8_Click Count,Q12.11,Q12.12,Q12.13,Q12.14,Q13.2_First Click,Q13.2_Last Click,Q13.2_Page Submit,Q13.2_Click Count,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8_First Click,Q13.8_Last Click,Q13.8_Page Submit,Q13.8_Click Count,Q13.11,Q13.12,Q13.13,Q13.14,Q14.2_First Click,Q14.2_Last Click,Q14.2_Page Submit,Q14.2_Click Count,Q14.4,Q14.5,Q14.6,Q14.7,Q14.8_First Click,Q14.8_Last Click,Q14.8_Page Submit,Q14.8_Click Count,Q14.11,Q14.12,Q14.13,Q14.14,Q15.2_First Click,Q15.2_Last Click,Q15.2_Page Submit,Q15.2_Click Count,Q15.4,Q15.5,Q15.6,Q15.7,Q15.8_First Click,Q15.8_Last Click,Q15.8_Page Submit,Q15.8_Click Count,Q15.11,Q15.12,Q15.13,Q15.14,Q16.2,Q16.3,Q16.4,Q16.5,Q16.6,ATTENTION_2,ATTENTION_3,ATTENTION_4,DeviceIdentifier,random
2021-06-15 11:57:17,2021-06-15 12:01:17,0,170.98.200.53,100,239,1,2021-06-15 12:01:18,R_2TXAfusaMoZsmVc,,,,,35.291595458984400,-80.820098876953100,anonymous,EN,1,,1,1,1,2,1,5,4,5,5,3,4,,1,2,1,1,1,1,2,19,19,19,19,19,1,,1,,2,5'2,125,,,,,,,,,,,,,,,,,0,0,21.386,0,6,1,6,1,0,0,61.096,0,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,6,6,"5,6",6,5,,628214
2021-06-15 11:58:33,2021-06-15 12:02:08,0,68.207.246.47,100,215,1,2021-06-15 12:02:09,R_00bKyt5T34VUBlT,,,,,27.8170928955078000,-82.626800537109400,anonymous,EN,1,,1,1,1,3,3,3,2,3,5,3,4,,1,2,2,1,1,2,1,18,19,19,18,18,2,2,,,5,5 2,123,0,0,21.517,0,4,3,3,2,0,0,61.464,0,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,5,3,6,6,5,,352682
2021-06-15 11:58:13,2021-06-15 12:02:44,0,174.110.240.220,100,271,1,2021-06-15 12:02:45,R_1qWF72WDSMPdFi0,,,,,34.9541015625,-78.739501953125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,1,1,1,3,5,3,4,5,5,3,4,,1,2,2,1,1,2,1,15,15,15,15,15,3,,,3,4,5 8,192,,,,,,,,,,,,,,,,,0,0,21.036,0,4,2,3,2,0,0,72.987,0,3,3,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,5,11,6,8,5,,910589
2021-06-15 12:00:18,2021-06-15 12:04:38,0,108.244.108.104,100,260,1,2021-06-15 12:04:38,R_2TBQdZwqYTQOkl5,,,,,29.395904541015600,-98.47609710693360000,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,1,1,1,1,5,1,1,1,5,3,4,,2,2,2,2,1,2,2,19,19,19,18,18,3,,,3,7,64,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23.158,0,7,1,7,1,7.847,8.655,62.239,2,7,7,6,6,,,,,,,,,,,,,,,,,4,3,2,6,1,"6,7",8,5,,550075
2021-06-15 11:57:58,2021-06-15 12:04:56,0,174.27.69.66,100,418,1,2021-06-15 12:04:56,R_1opZEaEZX0ov6RX,,,,,43.730804443359400,-116.28099822998000000,anonymous,EN,0.7000000000000000000000000000000000000000000000000000,,1,1,1,3,4,2,1,1,5,3,4,,1,2,1,2,2,2,2,19,19,19,19,18,1,,2,,4,5 ft 4,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,33.732,0,1,1,1,1,0,0,99.007,0,1,1,1,1,,,,,,,,,,,,,,,,,7,2,1,5,2,7,8,5,,140937
2021-06-15 12:01:19,2021-06-15 12:05:24,0,73.61.11.80,100,245,1,2021-06-15 12:05:25,R_3HjESntvrU0LoTR,,,,,42.33880615234380,-71.072601318359400,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,1,1,1,3,2,1,4,5,5,3,4,,1,2,1,1,2,1,2,14,16,15,14,14,2,1,,,6,5-8,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20.681,0,3,2,2,2,19.008,36.795,67,4,5,5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,5,9,6,6,5,,898220
2021-06-15 11:57:14,2021-06-15 12:05:57,0,173.198.160.217,100,522,1,2021-06-15 12:05:57,R_2Qyapne3OgdKvaR,,,,,43.9600982666016000,-111.69750213623000000,anonymous,EN,1,,1,1,1,2,1,5,1,1,5,3,4,,1,2,2,2,2,1,2,19,19,19,19,19,3,,,1,2,"5'7""",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.343,19.806,22.009,2,1,1,1,1,13.663,38.12,99.292,5,1,1,1,1,5,2,3,5,5,"5,6,7",9,5,,321864
2021-06-15 12:00:57,2021-06-15 12:06:08,0,67.249.177.120,100,310,1,2021-06-15 12:06:08,R_1jjqDTXssYDYxnC,,,,,43.033294677734400,-74.981201171875,anonymous,EN,1,,1,1,1,2,5,3,1,1,5,3,4,,1,2,2,1,1,1,2,19,19,19,19,19,3,,,3,4,73,191,20.076,20.076,21.069,1,6,1,6,1,11.566,39.833,71.258,4,6,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,6,11,6,13,5,,127986
2021-06-15 12:00:41,2021-06-15 12:06:15,0,24.151.126.210,100,333,1,2021-06-15 12:06:15,R_3iQJ9Nw67KeeRsv,,,,,41.9279022216797000,-73.06939697265630,anonymous,EN,1,,1,1,1,1,5,1,2,2,5,3,4,,1,2,1,1,1,2,2,15,16,17,16,17,2,1,,,7,"5' 4""",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21.713,0,6,2,5,2,0,0,61.17,0,7,7,6,6,,,,,,,,,,,,,,,,,5,2,1,2,4,7,8,5,,369804
2021-06-15 11:57:03,2021-06-15 12:06:16,0,45.144.113.31,100,552,1,2021-06-15 12:06:16,R_w5cJ4KjZCoOfd2p,,,,,40.7156982421875,-74,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,1,1,1,1,4,1,3,4,5,3,4,,1,2,2,2,2,2,1,16,16,14,14,15,2,1,,,6,5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.992,7.896,21.731,3,3,3,3,2,0,0,106.545,0,3,2,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,5,11,7,7,5,,614878
